dimension,category,metric,value
economic_value,cost_optimization,baseline_unit_cost,1200.0
economic_value,cost_optimization,actual_unit_cost,980.0
economic_value,cost_optimization,cost_saving_amount,220000.0
economic_value,cost_optimization,efficiency_projects_led,3
economic_value,digital_efficiency,baseline_work_hours,45.0
economic_value,digital_efficiency,actual_work_hours,38.0
economic_value,digital_efficiency,automation_usage_rate,0.85
economic_value,digital_efficiency,digital_tools_mastery,0.92
customer_social,service_reliability,unplanned_outage_hours,2.5
customer_social,service_reliability,baseline_outage_hours,8.0
customer_social,service_reliability,quality_compliance_rate,0.96
customer_social,service_reliability,equipment_availability,0.994
customer_social,customer_service,complaint_resolution_rate,0.95
customer_social,customer_service,average_response_time,0.8
customer_social,customer_service,customer_satisfaction_score,4.6
customer_social,customer_service,service_improvement_initiatives,2
internal_process,process_efficiency,baseline_process_cycle,72.0
internal_process,process_efficiency,actual_process_cycle,58.0
internal_process,process_efficiency,process_error_rate,0.02
internal_process,process_efficiency,workflow_optimization_count,4
internal_process,risk_compliance,safety_incidents_found,6
internal_process,risk_compliance,environmental_incidents,0
internal_process,risk_compliance,compliance_training_completion,1.0
internal_process,risk_compliance,risk_assessment_participation,12
learning_growth,skill_development,new_certifications_count,2
learning_growth,skill_development,training_hours_completed,85
learning_growth,skill_development,skill_assessment_score,88
learning_growth,skill_development,technical_competency_growth,0.15
learning_growth,innovation_sharing,innovation_proposals_submitted,3
learning_growth,innovation_sharing,innovation_proposals_adopted,2
learning_growth,innovation_sharing,knowledge_sharing_contributions,8
learning_growth,innovation_sharing,mentoring_hours,24
learning_growth,environmental_practice,green_behavior_score,4.5
learning_growth,environmental_practice,environmental_improvement_proposals,2
learning_growth,environmental_practice,environmental_training_hours,16
learning_growth,environmental_practice,carbon_footprint_reduction,0.12